Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"DBS: 0.75, 3, 4, 3, 5",2.4661504424778764,0.4028064159292035,119.0,0.9482743362831858,0.3208234513274336,0.08198296460176989,0.22685464601769922,0.3703389380530972,0.8253010993533991,0.5103454640238042,0.28261973011106467,0.23786918099006338
1,Evolved ANN 5 Noise 05,2.4412057522123893,0.5362867256637168,86.0,0.9500442477876107,0.44691792035398226,0.08936880530973448,0.15892013274336284,0.3047931415929203,0.8335780184307736,0.7366342803400638,0.43980590295979016,0.1845419521499411
2,Evolved FSM 16 Noise 05,2.397931415929204,0.44177101769911503,100.0,0.9500884955752212,0.3409980088495575,0.10077300884955757,0.2037336283185841,0.35449535398230075,0.855306770730272,0.48939200428830243,0.4132605255369361,0.0954253939632357
3,Level Punisher,2.3046349557522126,0.46829734513274335,114.0,0.9504867256637168,0.39420597345132746,0.07409137168141593,0.147778761061947,0.3839238938053096,0.8499629515833597,0.6441020634350594,0.35738468581832517,0.13988944811572052
4,"DoubleCrosser: (D, D)",2.298528761061947,0.3455716814159292,142.5,0.9500884955752212,0.273025442477876,0.07254623893805308,0.2059019911504425,0.44852632743362847,0.816155570487479,0.5028186612503953,0.2595696054792755,0.0584637392310981
5,Borufsen,2.28108407079646,0.5359599557522123,101.0,0.9489380530973451,0.4096137168141592,0.1263462389380531,0.14749004424778753,0.3165500000000001,0.9111226784724842,0.13174128372631838,0.6700178614161428,0.14418785756960795
6,"Omega TFT: 3, 8",2.2739933628318583,0.3872747787610619,160.0,0.9491150442477876,0.317725,0.069549778761062,0.17694889380530968,0.43577632743362843,0.8384215510466321,0.11316931569733542,0.47031564738918885,0.05671731418546596
7,White,2.2697345132743365,0.6734741150442478,17.0,0.9476548672566372,0.5304904867256639,0.14298362831858408,0.0879323008849557,0.23859358407079634,0.9499356376504159,0.6119033478057355,0.9502618732365599,0.3584021351411508
8,PSO Gambler 2_2_2 Noise 05,2.266880530973451,0.45167057522123893,105.0,0.9483185840707965,0.30153805309734494,0.15013252212389375,0.20432234513274342,0.3440070796460179,0.6160331033955068,0.47349771865146584,0.59173727381193,0.2933348095420814
9,Evolved ANN 5,2.252732300884956,0.22873030973451328,172.0,0.9504424778761061,0.17955376106194693,0.049176548672566364,0.2355338495575221,0.5357358407079645,0.7898150934768368,0.3313831496847351,0.14780330654244764,0.05135812276306264
10,Cave,2.2501548672566374,0.5242955752212389,97.5,0.948716814159292,0.4156650442477876,0.1086305309734513,0.13173827433628318,0.34396615044247786,0.9066579379590519,0.32708572999497515,0.6010536398303333,0.15500377500209497
11,Tranquilizer,2.246980088495575,0.5750440265486726,62.0,0.9481858407079646,0.4327542035398232,0.14228982300884954,0.13066792035398228,0.29428805309734496,0.8625643948884952,0.4332601740822311,0.8715737278154919,0.33391841572714415
12,"Stalker: (D,)",2.2460398230088496,0.6035469026548672,58.0,0.95,0.4600373893805309,0.14350951327433628,0.11755840707964607,0.2788946902654868,0.9007719829419182,0.7213921997005784,0.4684267515925687,0.19788028915894415
