Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Hard Prober,2.91309928111,0.4611143695014663,97.0,0.0,0.20698472044242947,0.12110227039571021,0.404402151345377,0.26751085781648337,0.87596907666,0.614203325282,0.472307800292,0.571743012008
1,Better and Better,2.80924605079,0.011471716203259827,176.0,0.0012121212121212121,0.0015672398318279197,0.004244851060672028,0.4523740747638629,0.5418138343436372,0.0901048342042,0.0652852456046,0.00953519873547,0.0112948887406
2,Prober 3,2.79549588947,0.24758366141732283,112.0,0.0,0.13349850617493306,0.13538591414319115,0.41596371667142007,0.31515186301045567,0.832623841323,0,0.765595723044,0.492943713372
3,Fortress3,2.76493636096,0.2091547277936963,124.0,0.0,0.02835378884585439,0.11481890611836444,0.45612147781054607,0.40070582722523507,1.0,0,0,0.431324326559
4,Raider,2.76426723416,0.29808846761453395,96.0,0.0,0.11843618293521414,0.11587533551723364,0.41078826992253076,0.35490021162502144,0.897398547291,0.592157693761,0.443521360369,0.549295929421
5,Meta Winner Memory One: 30 players,2.76273109493,0.11136107986501688,150.0,1.0,0.22041788305613483,0.05257371535885218,0.3436719121741996,0.3833364894108134,0,0,0,0
6,Defector,2.75272969836,0.0,181.0,0.0,0.0,0.0,0.43771143145156177,0.5622885685484382,0,0,0,0
7,Meta Winner Deterministic: 122 players,2.75127999079,0.10269709543568464,155.0,1.0,0.2047457406007374,0.05015897934396504,0.34808207657621976,0.39701320347907776,0,0,0,0
8,Prober,2.75050207812,0.41415187376725837,75.0,0.0,0.25855961834575314,0.16851135326955058,0.3500650676601876,0.2228639607245087,0.817187169581,0.627338575314,0.822471283492,0.621771318492
9,EvolvedLookerUp1_1_1,2.74222735444,0.6759875583203733,30.0,1.0,0.704909059896758,0.08558391403351058,0.10439598416233184,0.10511104190739942,0.978943580291,0,0.82726521698,0
10,Hard Go By Majority: 40,2.74015205866,0.43255211623499684,117.0,0.0,0.22856985971041752,0.14330997813599924,0.3568346725463038,0.27128548960727944,1.0,0.710695094799,0.922234796202,0
11,NMWE Memory One: 30 players,2.73481716483,0.6960431654676259,35.0,1.0,0.6955894320382112,0.07074519323863776,0.10359087913407855,0.1300744955890725,0.972832094875,0.101411672136,0.0165535061142,0.0535918226733
12,Evolved FSM 16,2.73096088218,0.7702230106436898,28.0,1.0,0.7077861183928825,0.10797358971964935,0.10607636327647582,0.07816392861099213,0.930072852875,0.415682308425,0.688443683204,0.356255187793
13,Meta Winner: 168 players,2.73009208712,0.09710642471799902,150.0,1.0,0.21251790411912974,0.05835751347604323,0.3400433497340854,0.38908123267074163,0,0,0,0
