Rank,Name,Median-score-per-turn
0,PSO Gambler,3.03951851852
1,EvolvedLookerUp,3.02962962963
2,DoubleCrosser,2.92355555556
3,Fool Me Once,2.9142962963
4,Gradual,2.8957037037
5,BackStabber,2.89551851852
6,Forgetful Fool Me Once,2.87031481481
7,Meta Hunter,2.82542592593
8,Omega TFT,2.79764814815
9,Meta Winner Long Memory,2.79416666667
10,Meta Winner Finite Memory,2.79346296296
11,Nice Average Copier,2.79137037037
12,Grudger,2.79022222222
13,Meta Winner,2.78885185185
14,Meta Winner Memory One,2.78777777778
15,Shubik,2.7367962963
16,Davis,2.72190740741
17,Limited Retaliate (0.05/20),2.72105555556
18,Soft Grudger,2.7162962963
19,Inverse,2.70924074074
20,ZD-GTFT-2,2.70837037037
21,Soft Joss: 0.9,2.70501851852
22,Limited Retaliate (0.08/15),2.70161111111
23,GTFT: 0.33,2.70087037037
24,Inverse Punisher,2.70001851852
25,Forgiver,2.69546296296
26,Retaliate (0.05),2.69077777778
27,Retaliate (0.08),2.69075925926
28,Math Constant Hunter,2.6907037037
29,Limited Retaliate (0.1/20),2.69055555556
30,Eventual Cycle Hunter,2.68838888889
31,ZD-GEN-2,2.68768518519
32,Eatherley,2.68007407407
33,Once Bitten,2.68007407407
34,Forgetful Grudger,2.67940740741
35,Retaliate (0.1),2.67753703704
36,Win-Stay Lose-Shift,2.66261111111
37,Appeaser,2.66233333333
38,Soft Go By Majority: 5,2.65357407407
39,Adapative Pavlov 2011,2.65261111111
40,Grofman,2.649
41,Champion,2.64896296296
42,Soft Go By Majority: 10,2.64798148148
43,Soft Go By Majority: 20,2.64781481481
44,Meta Majority Long Memory,2.64646296296
45,Adapative Pavlov 2006,2.64614814815
46,Firm But Fair,2.64344444444
47,Soft Go By Majority: 40,2.63644444444
48,Grumpy,2.63266666667
49,Forgiving Tit For Tat,2.63122222222
50,Contrite Tit For Tat,2.62475925926
51,Tit For Tat,2.62453703704
52,Adaptive Tit For Tat: 0.5,2.62424074074
53,Soft Go By Majority,2.62198148148
54,Meta Majority Finite Memory,2.61938888889
55,Punisher,2.61812962963
56,Hard Tit For 2 Tats,2.61666666667
57,Meta Majority,2.60996296296
58,Meta Majority Memory One,2.60875925926
59,Hard Tit For Tat,2.59974074074
60,Slow Tit For Two Tats,2.59435185185
61,Tit For 2 Tats,2.59418518519
62,Two Tits For Tat,2.5642037037
63,Thumper,2.54966666667
64,Adaptive,2.50737037037
65,Raider,2.48753703704
66,Hard Prober,2.4647962963
67,Nydegger,2.44746296296
68,Random Hunter,2.42053703704
69,Average Copier,2.40209259259
70,Cycle Hunter,2.39003703704
71,Defector Hunter,2.36737037037
72,Sneaky Tit For Tat,2.35261111111
73,Alternator Hunter,2.34705555556
74,Fool Me Forever,2.32825925926
75,Cooperator,2.31322222222
76,Prober 2,2.25940740741
77,Predator,2.24825925926
78,Fortress4,2.24166666667
79,Tester,2.22151851852
80,Ripoff,2.21853703704
81,Fortress3,2.21340740741
82,Prober,2.19875925926
83,Prober 3,2.19625925926
84,Willing,2.18618518519
85,Stochastic WSLS,2.17757407407
86,Cautious QLearner,2.17348148148
87,Remorseful Prober: 0.1,2.16742592593
88,Arrogant QLearner,2.16738888889
89,Hesitant QLearner,2.16668518519
90,Risky QLearner,2.16227777778
91,Bully,2.15707407407
92,Feld,2.15031481481
93,ThueMorseInverse,2.15012962963
94,ALLCorALLD,2.14792592593
95,Meta Minority,2.14572222222
96,Tullock,2.13025925926
97,ZD-SET-2,2.12292592593
98,Meta Mixer,2.11831481481
99,Suspicious Tit For Tat,2.11203703704
100,Tricky Defector,2.10862962963
101,SolutionB1,2.10633333333
102,Calculator,2.10109259259
103,$e$,2.09683333333
104,$\pi$,2.09618518519
105,Random: 0.5,2.08990740741
106,Cooperator Hunter,2.08890740741
107,Desperate,2.08872222222
108,Alternator,2.0765
109,$\phi$,2.06844444444
110,Hopeless,2.05364814815
111,Anti Tit For Tat,2.05344444444
112,ThueMorse,2.05168518519
113,Opposite Grudger,2.04485185185
114,Win-Shift Lose-Stay,2.03253703704
115,Joss: 0.9,2.02966666667
116,Naive Prober: 0.1,2.02727777778
117,AntiCycler,2.02285185185
118,Hard Go By Majority: 5,2.01518518519
119,Cycler CCD,2.0095
120,Tricky Cooperator,2.0057962963
121,Cycler DC,2.0032962963
122,ZD-Extort-4,2.00072222222
123,Hard Go By Majority,1.99855555556
124,ZD-Extort-2,1.99681481481
125,ZD-Extort-2 v2,1.98644444444
126,Cycler DDC,1.96003703704
127,Handshake,1.94318518519
128,Cycler CCCD,1.93366666667
129,SolutionB5,1.933
130,Hard Go By Majority: 40,1.9267037037
131,Defector,1.91214814815
132,Hard Go By Majority: 20,1.91048148148
133,Aggravater,1.90388888889
134,Hard Go By Majority: 10,1.89857407407
135,Cycler CCCCCD,1.86887037037
