Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved HMM 5,2.842085062240664,0.7435807053941909,47.0,1.0,0.6932226141078839,0.05035809128630706,0.1265647302904564,0.12985456431535267,0.9974970958093586,0.47435189327456406,0.014667339567519137,0.20625985937913324
1,Evolved ANN 5,2.8401659751037345,0.7155711618257261,48.0,1.0,0.6983369294605808,0.01723423236514521,0.11521991701244813,0.1692089211618258,1.0,0.7223578473774366,0,0.2723794163945499
2,EvolvedLookerUp2_2_2,2.8399481327800835,0.7430657676348548,53.0,1.0,0.6629112033195023,0.08015456431535269,0.14816244813277996,0.10877178423236518,0.8615781442358184,0.457884359316698,0.5365412779572293,0.8395960383398644
3,Evolved ANN,2.8330394190871377,0.7310294605809129,47.5,1.0,0.7124672199170123,0.018562240663900404,0.10643921161825723,0.16253132780082993,0.9834295370470342,0.8231289335619366,0.4107065846261965,0.03062125482762275
4,Evolved FSM 16,2.832811203319502,0.7157541493775934,68.0,1.0,0.6244369294605807,0.0913172199170125,0.168996887966805,0.11524896265560168,0.8365737690803856,0.5722476232168727,0.47908038079346965,0.36436258832541385
5,Evolved FSM 16 Noise 05,2.8266493775933617,0.7216161825726141,47.0,1.0,0.6981827800829874,0.02343340248962654,0.11354709543568471,0.1648367219917013,0.9806402825295671,0.569377015973804,0.4076007550605535,0.06900620422145169
6,PSO Gambler 2_2_2,2.8206120331950206,0.6950035269709544,47.0,1.0,0.6225506224066389,0.07245290456431537,0.16189875518672187,0.14309771784232372,0.8722721758956892,0.3991961990885751,0.4665274376679537,0.4112198212923584
7,PSO Gambler Mem1,2.810529045643154,0.7293641078838174,50.0,1.0,0.687795020746888,0.041569087136929445,0.11881203319502076,0.15182385892116185,1.0,0.5203288112608311,0,0.12075926316786748
8,PSO Gambler 1_1_1,2.8093672199170125,0.7027846473029046,54.0,1.0,0.6686452282157676,0.03413941908713693,0.12688236514522827,0.17033298755186727,1.0,0.2995369629151542,0,0.13208661949858305
9,Evolved FSM 4,2.797251037344398,0.7775358921161826,40.0,1.0,0.6743829875518671,0.10315290456431532,0.13811016597510378,0.0843539419087137,0.9361531096716188,0.4412383853046794,0,0.7908413477856233
10,"DBS: 0.75, 3, 4, 3, 5",2.7886410788381752,0.7422628630705395,36.0,1.0,0.7140516597510375,0.02821120331950206,0.09726846473029044,0.16046867219917002,0.9842256217273273,0.7917359273880413,0.28279864018893064,0.1797589125591354
11,"Omega TFT: 3, 8",2.784668049792531,0.7292983402489627,42.0,1.0,0.7168678423236514,0.012430497925311194,0.09089211618257263,0.17980954356846482,0.9998012017755086,0.1607060550009944,0.6057085298170036,0.033192980499704115
12,PSO Gambler 2_2_2 Noise 05,2.7699170124481327,0.7259280082987551,49.0,1.0,0.6713697095435686,0.054558298755186724,0.12052572614107877,0.15354626556016596,0.8572773349904039,0.4975097002824132,0.6875111202964685,0.3241039929730492
13,"DoubleCrosser: (D, D)",2.7673340248962663,0.6815508298755186,186.0,1.0,0.6648883817427383,0.016662448132780082,0.11379771784232373,0.20465145228215778,0.9962527154536718,0.799302067849596,0.2863903841468939,0
14,Winner12,2.7667634854771785,0.6849626556016597,54.0,1.0,0.6483338174273859,0.036628838174273835,0.12651556016597504,0.18852178423236512,1.0,0.3954602527929771,0,0.4433198010099113
15,Gradual,2.7625622406639003,0.791848132780083,42.0,1.0,0.7509516597510373,0.040896473029045616,0.07524937759336103,0.13290248962655593,1.0,0.37707803240786836,0.3851632876995036,0.2312338400070273
