Rank,Name,Median_score,Cooperation_rating
0,Raider,2.97234674537,0.34276578737010394
1,Fortress4,2.93640788922,0.12849596478356567
2,Hard Prober,2.81292408986,0.40098807495741057
3,Tricky Defector,2.80296684337,0.2326405325443787
4,Limited Retaliate (0.08/15),2.79197880763,0.6492741367159972
5,Fortress3,2.77607897074,0.19014878621769774
6,Retaliate (0.05),2.76505105902,0.5388042752171008
7,Prober 3,2.75787245657,0.22072343632253202
8,Cycler DDC,2.7535686342,0.30198019801980197
9,Meta Minority,2.73732520514,0.4118021472392638
10,Meta Winner Long Memory,2.72531956933,0.622457627118644
11,Average Copier,2.72160705419,0.3911463046757164
12,Bully,2.71209566514,0.4213274336283186
13,Retaliate (0.1),2.70190221966,0.7026111503175724
14,Nice Average Copier,2.70108816148,0.5951542776998597
15,Adapative Pavlov 2006,2.6990873235,0.791648023862789
16,Win-Shift Lose-Stay,2.69628474527,0.5491723614274867
17,Meta Winner Finite Memory,2.69211650523,0.5880963480963481
18,Soft Go By Majority: 5,2.6914015035,0.7996412556053811
19,PSO Gambler,2.6884638955,0.7814168937329701
20,Defector,2.68838346339,0.0
21,Punisher,2.68812491673,0.6618563685636857
22,Forgetful Grudger,2.68737863799,0.6911890243902439
23,EvolvedLookerUp,2.68530894877,0.8079836734693877
24,Meta Winner Memory One,2.68280981008,0.5835039090262971
25,Inverse Punisher,2.67868984655,0.7328324946081956
26,Limited Retaliate (0.05/20),2.67660227012,0.6386968838526912
27,Grudger,2.6751875904,0.7276560121765602
28,Retaliate (0.08),2.67468310508,0.6583101682516459
29,Omega TFT,2.67052991397,0.7872265625
30,Soft Go By Majority: 20,2.66338426118,0.8379234167893962
31,Forgiver,2.6552502504,0.6644378698224852
32,Hard Go By Majority,2.65022406549,0.43423076923076925
33,Two Tits For Tat,2.64503636835,0.697290673927842
34,Meta Winner,2.64234073797,0.6674560787069571
35,Soft Grudger,2.63872951375,0.7821259259259259
36,Forgiving Tit For Tat,2.63771900498,0.8154236239950525
37,Adapative Pavlov 2011,2.63737344088,0.7705845380263985
38,Hard Go By Majority: 5,2.62754457278,0.38944325481798714
39,Forgetful Fool Me Once,2.62533588074,0.809670477471419
40,Meta Majority,2.62425741462,0.8364834478450968
41,ZD-GTFT-2,2.62330197792,0.879008064516129
42,Gradual Killer,2.62323693592,0.40550291545189504
43,EasyGo,2.62263835941,0.6804054054054054
44,Meta Majority Long Memory,2.62095338926,0.8286551155115511
45,ThueMorseInverse,2.62056371186,0.4961832061068702
46,Hard Tit For Tat,2.61638614219,0.7431755102040817
47,Suspicious Tit For Tat,2.61565448065,0.4583735408560311
48,Adaptive Tit For Tat: 0.5,2.61125975062,0.8174749034749035
49,Meta Majority Finite Memory,2.60765807713,0.8361807580174927
50,Soft Go By Majority: 10,2.60735332699,0.8427924528301887
51,GrudgerAlternator,2.60674869465,0.8338676236044658
52,Naive Prober: 0.1,2.60654706536,0.6620399666944213
53,Stochastic WSLS,2.6060162112,0.6917078334509528
54,Win-Stay Lose-Shift,2.60103626278,0.7697684515195369
55,Limited Retaliate (0.1/20),2.59628034505,0.6826574500768049
56,Tester,2.59614396726,0.5142553191489362
57,Handshake,2.59573754312,0.13661732050333086
58,Shubik,2.59533656089,0.7795073891625616
59,Feld,2.59350129624,0.8193389700230592
60,Prober 2,2.59114024297,0.6067961826857532
61,Contrite Tit For Tat,2.59090679206,0.839621913580247
62,GTFT: 0.33,2.59073254543,0.8955382619974059
63,Aggravater,2.58863961331,0.10560137457044673
64,Cycler DC,2.58817549257,0.47733516483516486
65,Firm But Fair,2.58806667252,0.8373905723905724
66,Prober,2.58781743004,0.40634768740031896
67,ZD-Extort-2,2.58756303778,0.5605769230769231
68,Nydegger,2.58748117422,0.8840704340704341
69,Fool Me Once,2.5859692913,0.8219233355749832
